Breed,Breed_clean,BreedID,Weight Male,Weight Female
Lhasa Apsos,Lhasa Apso,145,12-18 pounds,12-18 pounds
Lowchen,Lowchen,146,15 pounds,15 pounds
Maltese,Maltese,147,under 7 pounds,under 7 pounds
Manchester Terriers,Manchester Terrier,148,"under 12 pounds (toy), 12-22 pounds (standard)","under 12 pounds (toy), 12-22 pounds (standard)"
Mastiffs,Mastiff,150,160-230 pounds,120-170 pounds
Miniature American Shepherds,Miniature American Shepherd,N/A,20-40 pounds,20-40 pounds
Miniature Bull Terriers,Bull Terrier,49,18-28 pounds,18-28 pounds
Miniature Pinschers,Miniature Pinscher,152,8-10 pounds,8-10 pounds
Miniature Schnauzers,Schnauzer,195,11-20 pounds,11-20 pounds
Neapolitan Mastiffs,Neapolitan Mastiff,156,150 pounds,110 pounds
Newfoundlands,Newfoundland Dog,158,130-150 pounds,100-120 pounds
Norfolk Terriers,Norfolk Terrier,159,11-12 pounds,11-12 pounds
Norwegian Buhunds,Norwegian Buhund,160,31-40 pounds,26-35 pounds
Norwegian Elkhounds,Norwegian Elkhound,161,55 pounds,48 pounds
Norwegian Lundehunds,Norwegian Lundehund,162,20-30 pounds,20-30 pounds
Norwich Terriers,Norwich Terrier,163,12 pounds,12 pounds
Old English Sheepdogs,Old English Sheepdog,165,60-100 pounds,60-100 pounds
Otterhounds,Otterhound,166,115 pounds,80 pounds
Papillons,Papillon,167,5-10 pounds,5-10 pounds
Parson Russell Terriers,Jack Russell Terrier (Parson Russell Terrier),129,13-17 pounds,13-17 pounds
Pekingese,Pekingese,169,up to 14 pounds,up to 14 pounds
Pembroke Welsh Corgis,Welsh Corgi,228,up to 30 pounds,up to 28 pounds
Petits Bassets Griffons Vendeens,Petit Basset Griffon Vendeen,171,25-40 pounds,25-40 pounds
Pharaoh Hounds,Pharaoh Hound,172,45-55 pounds,45-55 pounds
Plotts,Plott Hound,174,50-60 pounds,40-55 pounds
Pointers,Pointer,176,55-75 pounds,45-65 pounds
Pointers (German Shorthaired),German Shorthaired Pointer,104,55-70 pounds,45-60 pounds
Pointers (German Wirehaired),German Wirehaired Pointer,106,50-70 pounds,50-70 pounds
Polish Lowland Sheepdogs,Polish Lowland Sheepdog,177,30-50 pounds,30-50 pounds
Pomeranians,Pomeranian,178,3-7 pounds,3-7 pounds
Poodles,Poodle,179,"4-6 pounds (toy), 10-15 pounds (miniature), 60-70 pounds (male standard)","4-6 pounds (toy), 10-15 pounds (miniature), 40-50 pounds (female standard)"
Portuguese Podengo Pequenos,Podengo Portugueso,175,9-13 pounds,9-13 pounds
Portuguese Water Dogs,Portuguese Water Dog,180,42-60 pounds,35-50 pounds
Pugs,Pug,182,14-18 pounds,14-18 pounds
Pulik,Puli,183,25-35 pounds,25-35 pounds
Pumik,Pumi,184,27-29 pounds,22-24 pounds
Pyrenean Shepherds,Pyrenean Shepherd,N/A,15-30 pounds,15-30 pounds
Rat Terriers,Rat Terrier,185,10-25 pounds,10-25 pounds
Redbone Coonhounds,Redbone Coonhound,186,45-70 pounds,45-70 pounds
Retrievers (Chesapeake Bay),Chesapeake Bay Retriever,59,65-80 pounds,55-70 pounds
Retrievers (Curly-Coated),Curly-Coated Retriever,74,60-95 pounds,60-95 pounds
Retrievers (Flat-Coated),Flat-coated Retriever,97,60-70 pounds,60-70 pounds
Retrievers (Golden),Golden Retriever,109,65-75 pounds,55-65 pounds
Retrievers (Labrador),Labrador Retriever,141,65-80 pounds,55-70 pounds
Retrievers (Nova Scotia Duck Tolling),Nova Scotia Duck-Tolling Retriever,164,35-50 pounds,35-50 pounds
Rhodesian Ridgebacks,Rhodesian Ridgeback,188,85 pounds,70 pounds
Rottweilers,Rottweiler,189,95-135 pounds,80-100 pounds
Russell Terriers,Jack Russell Terrier,128,9-15 pounds,9-15 pounds
Salukis,Saluki,191,40-65 pounds,40-65 pounds
Samoyeds,Samoyed,192,45-65 pounds,35-50 pounds
Schipperkes,Schipperke,194,10-16 pounds,10-16 pounds
Scottish Deerhounds,Scottish Deerhound,196,85-110 pounds,75-95 pounds
Scottish Terriers,Scottish Terrier Scottie,197,19-22 pounds,18-21 pounds
Sealyham Terriers,Sealyham Terrier,198,23-24 pounds,slightly less
Setters (English),English Setter,86,65-80 pounds,45-55 pounds
Setters (Gordon),Gordon Setter,110,55-80 pounds,45-70 pounds
Setters (Irish),Irish Setter,122,70 pounds,60 pounds
Shetland Sheepdogs,Shetland Sheepdog Sheltie,203,15-25 pounds,15-25 pounds
Shiba Inu,Shiba Inu,204,23 pounds,17 pounds
Shih Tzu,Shih Tzu,205,9-16 pounds,9-16 pounds
Siberian Huskies,Siberian Husky,206,45-60 pounds,35-50 pounds
Silky Terriers,Silky Terrier,207,around 10 pounds,around 10 pounds
Skye Terriers,Skye Terrier,208,35-45 pounds,slightly lighter
Sloughis,Sloughi,209,35-50 pounds,35-50 pounds
Soft Coated Wheaten Terriers,Wheaten Terrier,232,35-40 pounds,30-35 pounds
Spaniels (American Water),American Water Spaniel,11,30-45 pounds,25-40 pounds
Spaniels (Boykin),Boykin Spaniel,45,30-40 pounds,25-35 pounds
Spaniels (Clumber),Clumber Spaniel,67,70-85 pounds,55-70 pounds
Spaniels (English Cocker),English Cocker Spaniel,83,28-34 pounds,26-32 pounds
Spaniels (English Springer),English Springer Spaniel,88,50 pounds,40 pounds
Spaniels (Field),Field Spaniel,93,35-50 pounds,35-50 pounds
Spaniels (Irish Water),Irish Water Spaniel,124,55-68 pounds,45-58 pounds
Spaniels (Sussex),Sussex Spaniel,216,35-45 pounds,35-45 pounds
Spaniels (Welsh Springer),Welsh Springer Spaniel,229,40-55 pounds,35-50 pounds
Spanish Water Dogs,Portuguese Water Dog,180,40-49 pounds,31-40 pounds
Spinoni Italiani,Italian Spinone,127,56 pounds,56 pounds
St. Bernards,Saint Bernard,190,140-180 pounds,120-140 pounds
Staffordshire Bull Terriers,Staffordshire Bull Terrier,214,28-38 pounds,24 to 34 pounds
Standard Schnauzers,Standard Schnauzer,N/A,35-50 pounds,30-45 pounds
Swedish Vallhunds,Swedish Vallhund,217,20-35 pounds,20-35 pounds
Tibetan Mastiffs,Tibetan Mastiff,220,90-150 pounds,70-120 pounds
Tibetan Terriers,Tibetan Terrier,222,18-30 pounds,slightly smaller
Tibetan Spaniel,Tibetan Spaniel,221,9-15 pounds,9-15 pounds
Toy Fox Terriers,Toy Fox Terrier,224,3.5-7 pounds,3.5-7 pounds
Treeing Walker Coonhounds,Treeing Walker Coonhound,225,50-70 pounds,50-70 pounds
Vizslas,Vizsla,226,55-60 pounds,44-55 pounds
Weimaraners,Weimaraner,227,70-90 pounds,55-75 pounds
Welsh Terriers,Welsh Terrier,230,20 pounds,proportionally smaller
West Highland White Terriers,West Highland White Terrier Westie,231,15-20 pounds,15-20 pounds
Whippets,Whippet,233,25-40 pounds,25-40 pounds
Wirehaired Pointing Griffons,Wire-haired Pointing Griffon,236,50-70 pounds,35 and 50 pounds
Wirehaired Vizslas,Vizsla,226,55-65 pounds,45-55 pounds
Xoloitzcuintli,Xoloitzcuintle/Mexican Hairless,238,"10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)","10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)"
Yorkshire Terriers,Yorkshire Terrier Yorkie,240,7 pounds,7 pounds
