id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full
52739285,GA841,https:\/\/www.petfinder.com\/dog\/squirt-1102-21-52739285\/ga\/cumming\/forsyth-county-animal-shelter-ga841\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Terrier,Mixed Breed,,,,,,Baby,Male,Small,,,,,,,,,,Squirt 1102-21,,48460233,,adoptable,2021-08-21T21:06:23+0000,2021-08-21T21:06:23+0000,,adoptions@forsythco.com,(678) 965-7185,4065 County Way,,Cumming,GA,30028,US,\/v2\/animals\/52739285,\/v2\/types\/dog,\/v2\/organizations\/ga841,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739285\/1\/?bust=1629580663
52739284,GA829,https:\/\/www.petfinder.com\/dog\/giggles-52739284\/ga\/alpharetta\/atlanta-humane-society-ga829\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Mixed Breed,,,,,,Adult,Female,Large,,,,,,,,,,Giggles,Hi I&amp;#39;m Giggles!,48360395,,adoptable,2021-08-21T21:06:22+0000,2021-08-21T21:06:22+0000,,mail@atlantahumane.org,(404) 875-5331,1565 Mansell Road,,Alpharetta,GA,30009,US,\/v2\/animals\/52739284,\/v2\/types\/dog,\/v2\/organizations\/ga829,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739284\/1\/?bust=1629580647
52739283,IN42,https:\/\/www.petfinder.com\/dog\/dauphin-52739283\/in\/fort-wayne\/humane-fort-wayne-in42\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Mixed Breed,,,,,,Adult,Female,Medium,,,,,,,,,,Dauphin,"Weight: 32.80 lbs.

WANT TO TAKE ME HOME TODAY? SCHEDULE AND ADOPTION APPOINTMENT.
To Schedule An Adoption Appointment:
1. Fill...",48227267,,adoptable,2021-08-21T21:06:21+0000,2021-08-21T21:06:21+0000,,shelterinfo@humanefw.org,(260) 744-0454,4914 Hanna St.,,Fort Wayne,IN,46806,US,\/v2\/animals\/52739283,\/v2\/types\/dog,\/v2\/organizations\/in42,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739283\/1\/?bust=1629580645
52739282,IN42,https:\/\/www.petfinder.com\/cat\/dragonfly-52739282\/in\/fort-wayne\/humane-fort-wayne-in42\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Dragonfly,"Weight: 2.10 lbs.

Adoption Fee: Name Your Own Adoption Fee!

WANT TO TAKE ME HOME TODAY? SCHEDULE AND ADOPTION APPOINTMENT....",48429772,,adoptable,2021-08-21T21:06:21+0000,2021-08-21T21:06:21+0000,,shelterinfo@humanefw.org,(260) 744-0454,4914 Hanna St.,,Fort Wayne,IN,46806,US,\/v2\/animals\/52739282,\/v2\/types\/cat,\/v2\/organizations\/in42,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739282\/1\/?bust=1629580646
52739281,IN02,https:\/\/www.petfinder.com\/dog\/magic-52739281\/in\/fishers\/humane-society-for-hamilton-county-in02\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,Mixed Breed,,,,,,Young,Male,Large,,,,,,,,,,Magic,"Magic
I certainly could use a little magic right about now. I was brought to the HSHC as an abandoned...",48187377,,adoptable,2021-08-21T21:06:18+0000,2021-08-21T21:06:18+0000,,hshc@hamiltonhumane.com,(317) 773-4974,10501 Hague Rd.,,Fishers,IN,46038,US,\/v2\/animals\/52739281,\/v2\/types\/dog,\/v2\/organizations\/in02,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739281\/1\/?bust=1629580624
52739280,IN02,https:\/\/www.petfinder.com\/cat\/blu-52739280\/in\/fishers\/humane-society-for-hamilton-county-in02\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Small,,,,,,,,,,Blu,,48459696,,adoptable,2021-08-21T21:06:18+0000,2021-08-21T21:06:18+0000,,hshc@hamiltonhumane.com,(317) 773-4974,10501 Hague Rd.,,Fishers,IN,46038,US,\/v2\/animals\/52739280,\/v2\/types\/cat,\/v2\/organizations\/in02,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739280\/1\/?bust=1629580617
52739275,GA133,https:\/\/www.petfinder.com\/dog\/euro-52739275\/ga\/thomasville\/thomasville-thomas-county-humane-society-ga133\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Baby,Male,Medium,,,,,,,,,,Euro,,48497950,,adoptable,2021-08-21T21:06:14+0000,2021-08-21T21:06:14+0000,,pets@rose.net,229-228-0613     ,180 Big Star Drive,,Thomasville,GA,31757,US,\/v2\/animals\/52739275,\/v2\/types\/dog,\/v2\/organizations\/ga133,,,,,,,,,,,,
52739273,FL110,https:\/\/www.petfinder.com\/cat\/ali-52739273\/fl\/largo\/spca-tampa-bay-fl110\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Large,,,,,,,,,,Ali,,48477569,,adoptable,2021-08-21T21:06:13+0000,2021-08-21T21:06:13+0000,,adoptions@spcatampabay.org,(727) 586-3591,9099 130th Ave N,,Largo,FL,33773,US,\/v2\/animals\/52739273,\/v2\/types\/cat,\/v2\/organizations\/fl110,,,,,,,,,,,,
52739274,FL110,https:\/\/www.petfinder.com\/cat\/bella-52739274\/fl\/largo\/spca-tampa-bay-fl110\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Large,,,,,,,,,,Bella,,48475315,,adoptable,2021-08-21T21:06:13+0000,2021-08-21T21:06:13+0000,,adoptions@spcatampabay.org,(727) 586-3591,9099 130th Ave N,,Largo,FL,33773,US,\/v2\/animals\/52739274,\/v2\/types\/cat,\/v2\/organizations\/fl110,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739274\/1\/?bust=1629580592
52739271,FL1397,https:\/\/www.petfinder.com\/cat\/parker-52739271\/fl\/orlando\/pet-alliance-of-greater-orlando-fl1397\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Senior,Male,Medium,,,,,,,,,,Parker,,47936295,,adoptable,2021-08-21T21:06:13+0000,2021-08-21T21:06:13+0000,,info@petallianceorlando.org,(407) 351-7722,2727 Conroy Road,,Orlando,FL,32839,US,\/v2\/animals\/52739271,\/v2\/types\/cat,\/v2\/organizations\/fl1397,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739271\/1\/?bust=1629580597
