id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,tags/0,tags/1,tags/2,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,primary_photo_cropped
52739234,TX403,https:\/\/www.petfinder.com\/dog\/luna-52739234\/tx\/houston\/houston-spca-tx403\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,,,,,,,Senior,Female,Medium,,,,,,,,,,Luna,Primary Color: Black Secondary Color: Brown Weight: 15lbs Age: 13yrs 0mths 1wks Animal has been Spayed,450755,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739234\/1\/?bust=1629580420,adoptable,2021-08-21T21:03:13+0000,2021-08-21T21:03:13+0000,,info@houstonspca.org,(713) 869-7722,7007 Old Katy Rd,,Houston,TX,77024,US,\/v2\/animals\/52739234,\/v2\/types\/dog,\/v2\/organizations\/tx403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739232,CA24,https:\/\/www.petfinder.com\/dog\/sage-52739232\/ca\/mission-viejo\/mission-viejo-animal-services-center-ca24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Cattle Dog \/ Blue Heeler,,,,,,,Adult,Female,Medium,,,,,,,,,,Sage,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739232\/1\/?bust=1629579780,adoptable,2021-08-21T21:03:01+0000,2021-08-21T21:03:01+0000,,ask-shelter@cityofmissionviejo.org,(949) 470-3045 ,28095 Hillcrest,www.cmvas.org,Mission Viejo,CA,92692,US,\/v2\/animals\/52739232,\/v2\/types\/dog,\/v2\/organizations\/ca24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739228,MO121,https:\/\/www.petfinder.com\/cat\/faye-52739228\/mo\/osage-beach\/dogwood-animal-shelter-mo121\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Medium,,,,,,,,,,Faye,Primary Color: Black Weight: 7lbs Age: 1yrs 0mths 2wks,24154,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739228\/1\/?bust=1629580368,adoptable,2021-08-21T21:02:31+0000,2021-08-21T21:02:31+0000,,dogwoodshelter@hotmail.com,573-348-4411,1075 Runabout Drive,,Osage Beach,MO,65020,US,\/v2\/animals\/52739228,\/v2\/types\/cat,\/v2\/organizations\/mo121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739226,OH317,https:\/\/www.petfinder.com\/cat\/love-bug-52739226\/oh\/dublin\/colony-cats-and-dogs-oh317\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black & White \/ Tuxedo,,,Baby,Male,Medium,,,,,,,,,,Love Bug,"**Come meet me in the cage free adoption center! If interested in adopting me, please fill out an online adoption...",17126481-982091066072429,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/1\/?bust=1629580345,adoptable,2021-08-21T21:02:13+0000,2021-08-21T21:02:13+0000,,adopt@colonycats.org,(614) 570-0471,2740 Festival Ln,,Dublin,OH,43017,US,\/v2\/animals\/52739226,\/v2\/types\/cat,\/v2\/organizations\/oh317,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/2\/?bust=1629580341&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/2\/?bust=1629580341&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/2\/?bust=1629580341&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739226\/2\/?bust=1629580341,,,,,,,,,,,,,,,,,,,,,,,
52739223,TX953,https:\/\/www.petfinder.com\/dog\/gonzo-52739223\/tx\/manchaca\/austin-dog-rescue-tx953\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,Terrier,,,Bicolor,White \/ Cream,Black,Young,Male,Medium,Short,,,,,,,,,Gonzo,"xPlease visit our website at: www.austindog.org for full details about Gonzo and the most current, up-to-date status of all of...",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/1\/?bust=1629579702,adoptable,2021-08-21T21:02:08+0000,2021-08-21T21:02:08+0000,,Adoptions@austindog.org,,,,Manchaca,TX,78652,US,\/v2\/animals\/52739223,\/v2\/types\/dog,\/v2\/organizations\/tx953,Friendly,Affectionate,Loyal,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/2\/?bust=1629579703&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/2\/?bust=1629579703&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/2\/?bust=1629579703&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/2\/?bust=1629579703,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/3\/?bust=1629579705&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/3\/?bust=1629579705&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/3\/?bust=1629579705&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/3\/?bust=1629579705,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/4\/?bust=1629579705&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/4\/?bust=1629579705&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/4\/?bust=1629579705&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739223\/4\/?bust=1629579705,,,,,,,,,Gentle,Playful,Smart,Funny,Athletic,Loves kisses,
52739225,NE04,https:\/\/www.petfinder.com\/cat\/flori-52739225\/ne\/lincoln\/the-cat-house-ne04\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Torbie,,,Baby,Female,Medium,Short,,,,,,,,,Flori,Flori is a pint-sized firecracker.  She is the quickest one in her litter to catch a wand feather toy.  She...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739225\/1\/?bust=1629580324,adoptable,2021-08-21T21:02:04+0000,2021-08-21T21:02:04+0000,,adoptions@thecathouse.org,(402) 441-9593,P O Box 23145,,Lincoln,NE,68542,US,\/v2\/animals\/52739225,\/v2\/types\/cat,\/v2\/organizations\/ne04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739224,IA60,https:\/\/www.petfinder.com\/dog\/paula-52739224\/ia\/sioux-city\/siouxland-humane-society-ia60\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,,,,,,,Young,Female,Medium,,,,,,,,,,Paula,Paula is a beautiful girl looking for her forever home. She is very sweet and should do well with other...,13164,,,,,,,,,adoptable,2021-08-21T21:02:01+0000,2021-08-21T21:02:01+0000,,adopt@siouxlandhumanesociety.org,(712) 252-2614,1015 Tri-View Avenue,,Sioux City,IA,51103,US,\/v2\/animals\/52739224,\/v2\/types\/dog,\/v2\/organizations\/ia60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739219,CA24,https:\/\/www.petfinder.com\/dog\/belle-52739219\/ca\/mission-viejo\/mission-viejo-animal-services-center-ca24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,,,,White \/ Cream,,,Young,Female,Medium,,,,,,,,,,Belle,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739219\/1\/?bust=1629579687,adoptable,2021-08-21T21:01:29+0000,2021-08-21T21:01:29+0000,,ask-shelter@cityofmissionviejo.org,(949) 470-3045 ,28095 Hillcrest,www.cmvas.org,Mission Viejo,CA,92692,US,\/v2\/animals\/52739219,\/v2\/types\/dog,\/v2\/organizations\/ca24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739218,GA978,https:\/\/www.petfinder.com\/cat\/moss-52739218\/ga\/warner-robins\/the-rescue-ranch-ga978\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tabby (Brown \/ Chocolate),White,,Young,Male,Medium,Short,,,,,,,,,Moss,"All pets are spayed\/neutered, combo tested, current on vaccinations, dewormed, and treated with a flea preventative.",991003911285168,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739218\/1\/?bust=1629579687,adoptable,2021-08-21T21:01:28+0000,2021-08-21T21:01:28+0000,,kittycat6917@yahoo.com,,2730 Watson Blvd,,Warner Robins,GA,31093,US,\/v2\/animals\/52739218,\/v2\/types\/cat,\/v2\/organizations\/ga978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739217,WI405,https:\/\/www.petfinder.com\/cat\/gypsy-52739217\/wi\/tomah\/chasing-daylight-animal-shelter-wi405\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Long Hair,,,,Black,,,Adult,Female,Medium,Long,,,,,,,,,Gypsy,"My name is now Gypsy...it had been Meryl before. I was previously adopted, but have come back due to my...",,,,,,,,,,adoptable,2021-08-21T21:01:17+0000,2021-08-21T21:01:17+0000,,manager@chasingdaylight.org,(608) 374-2112,15560 State Hwy 131,,Tomah,WI,54660,US,\/v2\/animals\/52739217,\/v2\/types\/cat,\/v2\/organizations\/wi405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
