id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full
52739015,TX236,https:\/\/www.petfinder.com\/dog\/1128003-52739015\/tx\/dallas\/dallas-animal-services-and-adoption-center-tx236\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Adult,Female,Large,,,,,,,,,,1128003,,A1128003,,adoptable,2021-08-21T20:39:59+0000,2021-08-21T20:39:59+0000,,dasadopt@dallascityhall.com,(214) 671-0249,1818 N. Westmoreland,,Dallas,TX,75212,US,\/v2\/animals\/52739015,\/v2\/types\/dog,\/v2\/organizations\/tx236,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739015\/1\/?bust=1629579033
52739013,TX236,https:\/\/www.petfinder.com\/dog\/bubbles-52739013\/tx\/dallas\/dallas-animal-services-and-adoption-center-tx236\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,,,,,,,Adult,Male,Extra Large,,,,,,,,,,BUBBLES,,A1128002,,adoptable,2021-08-21T20:39:59+0000,2021-08-21T20:39:59+0000,,dasadopt@dallascityhall.com,(214) 671-0249,1818 N. Westmoreland,,Dallas,TX,75212,US,\/v2\/animals\/52739013,\/v2\/types\/dog,\/v2\/organizations\/tx236,,,,,,,,
52739014,TX236,https:\/\/www.petfinder.com\/dog\/bubbles-52739014\/tx\/dallas\/dallas-animal-services-and-adoption-center-tx236\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Mixed Breed,,,,,,Adult,Male,Large,,,,,,,,,,BUBBLES,,A1090715,,adoptable,2021-08-21T20:39:59+0000,2021-08-21T20:39:59+0000,,dasadopt@dallascityhall.com,(214) 671-0249,1818 N. Westmoreland,,Dallas,TX,75212,US,\/v2\/animals\/52739014,\/v2\/types\/dog,\/v2\/organizations\/tx236,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739014\/1\/?bust=1629579072
52739011,CA15,https:\/\/www.petfinder.com\/cat\/a499833-52739011\/ca\/pasadena\/pasadena-humane-ca15\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Small,,,,,,,,,,A499833,,A499833,,adoptable,2021-08-21T20:39:55+0000,2021-08-21T20:39:55+0000,,adopt@pasadenahumane.org,(626) 792-7151,,,Pasadena,CA,91105,US,\/v2\/animals\/52739011,\/v2\/types\/cat,\/v2\/organizations\/ca15,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739011\/1\/?bust=1629579031
52739010,CA15,https:\/\/www.petfinder.com\/cat\/a499834-52739010\/ca\/pasadena\/pasadena-humane-ca15\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Small,,,,,,,,,,A499834,,A499834,,adoptable,2021-08-21T20:39:55+0000,2021-08-21T20:39:55+0000,,adopt@pasadenahumane.org,(626) 792-7151,,,Pasadena,CA,91105,US,\/v2\/animals\/52739010,\/v2\/types\/cat,\/v2\/organizations\/ca15,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739010\/1\/?bust=1629579041
52739006,AZ180,https:\/\/www.petfinder.com\/dog\/hardy-52739006\/az\/casa-grande\/valley-humane-society-inc-az180\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Doberman Pinscher,,,,Brown \/ Chocolate,,,Young,Male,Medium,Short,,,,,,,,,Hardy,Hardy is an 11-month-old gorgeous Doberman!  He loves to play and exercise and he also likes to just chill with...,,,adoptable,2021-08-21T20:39:53+0000,2021-08-21T20:39:53+0000,,vhsmail@valleyhumane.net,(520) 836-0904,15699 W. Aniceto Rd.,PO Box 10480,Casa Grande,AZ,85230,US,\/v2\/animals\/52739006,\/v2\/types\/dog,\/v2\/organizations\/az180,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739006\/1\/?bust=1629578392
52739009,TX447,https:\/\/www.petfinder.com\/dog\/a100143-52739009\/tx\/waco\/humane-society-of-central-tx-tx447\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,,,,,,,Young,Male,Small,,,,,,,,,,A100143,,A100143,,adoptable,2021-08-21T20:39:53+0000,2021-08-21T20:39:53+0000,,hsctapplications@gmail.com,254-754-1454,2032 Circle Rd,,Waco,TX,76706,US,\/v2\/animals\/52739009,\/v2\/types\/dog,\/v2\/organizations\/tx447,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739009\/1\/?bust=1629579010
52739007,FL829,https:\/\/www.petfinder.com\/cat\/patches-pearl-52739007\/fl\/pensacola\/escambia-county-animal-services-fl829\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Medium,,,,,,,,,,PATCHES PEARL,,A303120,,adoptable,2021-08-21T20:39:52+0000,2021-08-21T20:39:52+0000,,prtrout@co.escambia.fl.us,850-595-3075   ,200 W. Fairfield Drive,,Pensacola,FL,32501,US,\/v2\/animals\/52739007,\/v2\/types\/cat,\/v2\/organizations\/fl829,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739007\/1\/?bust=1629579020
52739008,CA738,https:\/\/www.petfinder.com\/cat\/strawberry-jam-52739008\/ca\/rancho-cucamonga\/rancho-cucamonga-animal-care-and-adoption-center-ca738\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Medium,,,,,,,,,,STRAWBERRY JAM,,A752870,,adoptable,2021-08-21T20:39:52+0000,2021-08-21T20:39:52+0000,,RCPets@cityofrc.us,(909) 466-7387,11780 Arrow Route,,Rancho Cucamonga,CA,91730,US,\/v2\/animals\/52739008,\/v2\/types\/cat,\/v2\/organizations\/ca738,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739008\/1\/?bust=1629579029
52739005,CA1534,https:\/\/www.petfinder.com\/dog\/dog-52739005\/ca\/thousand-palms\/coachella-valley-city-county-animal-shelter-ca1534\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Young,Female,Medium,,,,,,,,,,Dog,,A1636348,,adoptable,2021-08-21T20:39:51+0000,2021-08-21T20:39:51+0000,,shelterinfo@rivcocha.org,760 343 3644   ,72-050 Pet Land Place,,Thousand Palms,CA,92276,US,\/v2\/animals\/52739005,\/v2\/types\/dog,\/v2\/organizations\/ca1534,,,,,,,,
