id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,tags/0,tags/1,tags/2,tags/3,tags/4,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,videos/0/embed
52739368,GA978,https:\/\/www.petfinder.com\/cat\/marietta-52739368\/ga\/warner-robins\/the-rescue-ranch-ga978\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Gray & White,,,Young,Female,Medium,Short,,,,,,,,,,,,,,Marietta,"All pets are spayed\/neutered, combo tested, current on vaccinations, dewormed, and treated with a flea preventative.",991003911254099,,adoptable,2021-08-21T21:17:33+0000,2021-08-21T21:17:33+0000,,kittycat6917@yahoo.com,,2730 Watson Blvd,,Warner Robins,GA,31093,US,\/v2\/animals\/52739368,\/v2\/types\/cat,\/v2\/organizations\/ga978,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/2\/?bust=1629580651&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/2\/?bust=1629580651&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/2\/?bust=1629580651&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/2\/?bust=1629580651,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/3\/?bust=1629580651&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/3\/?bust=1629580651&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/3\/?bust=1629580651&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/3\/?bust=1629580651,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/4\/?bust=1629580652&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/4\/?bust=1629580652&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/4\/?bust=1629580652&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/4\/?bust=1629580652,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739368\/1\/?bust=1629580650,
52739366,CO91,https:\/\/www.petfinder.com\/dog\/luna-52739366\/co\/golden\/foothills-animal-shelter-co91\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,American Staffordshire Terrier,,,,,,,Adult,Female,Large,,,,,,,,,,,,,,,Luna,Primary Color: Brown Weight: 56lbs Age: 4yrs 0mths 1wks Animal has been Spayed Adoption Fees: $100,232646,,adoptable,2021-08-21T21:17:18+0000,2021-08-21T21:17:18+0000,,info@fas4pets.org,(303) 278-7575,580 McIntyre St (new),,Golden,CO,80401,US,\/v2\/animals\/52739366,\/v2\/types\/dog,\/v2\/organizations\/co91,,,,,,,,,,,,,,,,,,,,,
52739365,OH317,https:\/\/www.petfinder.com\/cat\/weevil-52739365\/oh\/dublin\/colony-cats-and-dogs-oh317\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Orange \/ Red,,,Baby,Male,Medium,,,,,,,,,,,,,,,Weevil,"**Come meet me at the cage free adoption center!! If interested in adopting me, please fill out an online adoption...",17126478-982091066072357,,adoptable,2021-08-21T21:17:15+0000,2021-08-21T21:17:15+0000,,adopt@colonycats.org,(614) 570-0471,2740 Festival Ln,,Dublin,OH,43017,US,\/v2\/animals\/52739365,\/v2\/types\/cat,\/v2\/organizations\/oh317,,,,,,,,,,,,,,,,,,,,,
52739363,CA697,https:\/\/www.petfinder.com\/cat\/fiona-52739363\/ca\/santa-rosa\/humane-society-of-sonoma-county-santa-rosa-ca697\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Russian Blue,,,,,,,Baby,Female,Small,,,,,,,,,,,,,,,Fiona,Primary Color: Blue Weight: 0.85kg Age: 0yrs 0mths 7wks Animal has been Spayed,25713,,adoptable,2021-08-21T21:17:07+0000,2021-08-21T21:17:07+0000,,mdallas@humanesocietysoco.org,(707) 542-0882,5345 Hwy 12,,Santa Rosa,CA,95401,US,\/v2\/animals\/52739363,\/v2\/types\/cat,\/v2\/organizations\/ca697,,,,,,,,,,,,,,,,,,,,,
52739364,CA697,https:\/\/www.petfinder.com\/cat\/shrek-52739364\/ca\/santa-rosa\/humane-society-of-sonoma-county-santa-rosa-ca697\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Russian Blue,,,,,,,Baby,Male,Small,,,,,,,,,,,,,,,Shrek,Primary Color: Blue Weight: 1kg Age: 0yrs 0mths 7wks Animal has been Neutered,25712,,adoptable,2021-08-21T21:17:07+0000,2021-08-21T21:17:07+0000,,mdallas@humanesocietysoco.org,(707) 542-0882,5345 Hwy 12,,Santa Rosa,CA,95401,US,\/v2\/animals\/52739364,\/v2\/types\/cat,\/v2\/organizations\/ca697,,,,,,,,,,,,,,,,,,,,,
52739362,IA60,https:\/\/www.petfinder.com\/dog\/sadie-52739362\/ia\/sioux-city\/siouxland-humane-society-ia60\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,,,,,,,Young,Female,Medium,,,,,,,,,,,,,,,Sadie,"Sadie is a beautiful girl looking for her forever home. She was transferred from another shelter, so we do not...",13162,,adoptable,2021-08-21T21:17:01+0000,2021-08-21T21:17:01+0000,,adopt@siouxlandhumanesociety.org,(712) 252-2614,1015 Tri-View Avenue,,Sioux City,IA,51103,US,\/v2\/animals\/52739362,\/v2\/types\/dog,\/v2\/organizations\/ia60,,,,,,,,,,,,,,,,,,,,,
52739361,CA2726,https:\/\/www.petfinder.com\/cat\/rocket-52739361\/ca\/escondido\/howe-2-care-4-critters-ca2726\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black & White \/ Tuxedo,,,Baby,Male,Medium,Short,,,,,,,,,Friendly,Affectionate,Playful,,,Rocket,Rocket loves to play and is super friendly.,482,,adoptable,2021-08-21T21:16:52+0000,2021-08-21T21:16:52+0000,,howe2care4critters@gmail.com,,,,Escondido,CA,92027,US,\/v2\/animals\/52739361,\/v2\/types\/cat,\/v2\/organizations\/ca2726,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/2\/?bust=1629580611&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/2\/?bust=1629580611&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/2\/?bust=1629580611&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/2\/?bust=1629580611,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739361\/1\/?bust=1629580610,
52739357,IA98,https:\/\/www.petfinder.com\/dog\/apolllo-52739357\/ia\/sioux-city\/sioux-city-animal-adoption-and-rescue-ia98\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Siberian Husky,,,,Black,White \/ Cream,Gray \/ Blue \/ Silver,Adult,Male,Large,Medium,,,,,,,,,Friendly,Affectionate,Gentle,Smart,Quiet,Apolllo ,"Apollo is a sweet boy very gentle and kind! He is good with other dogs, and loves people! He loves...",,,adoptable,2021-08-21T21:16:29+0000,2021-08-21T21:16:29+0000,,siouxcityshelter@gmail.com,(712) 279-6968,2400 Hawkeye Dr,,Sioux City,IA,51105,US,\/v2\/animals\/52739357,\/v2\/types\/dog,\/v2\/organizations\/ia98,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/2\/?bust=1629580587&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/2\/?bust=1629580587&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/2\/?bust=1629580587&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/2\/?bust=1629580587,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739357\/1\/?bust=1629580586,
52739351,TX364,https:\/\/www.petfinder.com\/dog\/morgan-52739351\/tx\/bandera\/cowboy-capital-pet-assistance-league-inc-tx364\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,,,,,,,Baby,Male,Medium,,,,,,,,,,,,,,,Morgan,Welcome Morgan to CCPAL Rescue.  Morgan is a 3-month-old German Shepherd mix pup.  He is really sweet and has the...,,,adoptable,2021-08-21T21:16:20+0000,2021-08-21T21:16:20+0000,,maudreyh@aol.com,(210) 867-1769,P.O. Box 2200,,Bandera,TX,78003,US,\/v2\/animals\/52739351,\/v2\/types\/dog,\/v2\/organizations\/tx364,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/2\/?bust=1629580564&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/2\/?bust=1629580564&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/2\/?bust=1629580564&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/2\/?bust=1629580564,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/3\/?bust=1629580565&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/3\/?bust=1629580565&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/3\/?bust=1629580565&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/3\/?bust=1629580565,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739351\/1\/?bust=1629580563,"<iframe title=""Video"" src=""https:\/\/www.youtube.com\/embed\/LUww8G2wCCk?enablejsapi=1"" frameborder=""0"" allowfullscreen><\/iframe>"
52739356,CA611,https:\/\/www.petfinder.com\/small-furry\/laverne-52739356\/ca\/napa\/napa-county-animal-shelter-ca611\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Guinea Pig,Guinea Pig,,,,,,,Adult,Female,Medium,,,,,,,,,,,,,,,Laverne,Primary Color: Calico,39287,,adoptable,2021-08-21T21:16:11+0000,2021-08-21T21:16:11+0000,,animal.shelter@countyofnapa.org,(707) 253-4382,942 Hartle Ct.,,Napa,CA,94559,US,\/v2\/animals\/52739356,\/v2\/types\/small-furry,\/v2\/organizations\/ca611,,,,,,,,,,,,,,,,,,,,,
